"","X","COSMIC_ID","DRUG_ID","IC50_Normal","Cp","AICc","GCV","BIC","cc_real...2."
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"X1295741",1,0.258868034400744,0.257429874271379,0.24601781627965,0.24601781627965,0.21484437796175,0.258868034400744
"4",2,"X1330983",1,0.110203797873661,0.214563080268748,0.265616724206613,0.265616724206613,0.144187708199846,0.110203797873661
"5",3,"X1330984",1,-0.264503827614606,0.15364404889635,0.149241476500273,0.149241476500273,0.16973321847804,-0.264503827614606
"6",4,"X1331039",1,0.328450873519462,0.249856465798806,0.225289971419371,0.225289971419371,0.217752641080123,0.328450873519462
"7",5,"X1331048",1,0.163521191767039,0.0590171149785715,-0.0412872937446768,-0.0412872937446768,0.125859841040452,0.163521191767039
"8",6,"X1331049",1,-0.000891277156461608,0.201605531887244,0.238047016065293,0.238047016065293,0.156337291416684,-0.000891277156461608
"9",7,"X713878",1,0.667581211766743,0.307348429298191,0.283188349039753,0.283188349039753,0.283759753773613,0.667581211766743
"10",8,"X724872",1,0.198705575650614,0.361288714512348,0.292483380688342,0.292483380688342,0.343824978650933,0.198705575650614
"11",9,"X905978",1,0.654149843655935,-0.0275841612383749,0.0796547147449128,0.0796547147449128,0.0138958158478835,0.654149843655935
"12",10,"X906831",1,0.0872414297420892,0.0333257195772145,0.122570709671041,0.122570709671041,0.102523028958521,0.0872414297420892
"13",11,"X906834",1,0.217458137740669,-0.0132117703932482,-0.12813352032671,-0.12813352032671,0.166749493441443,0.217458137740669
"14",12,"X906846",1,0.276820250116306,0.207656663502017,0.405379865805361,0.405379865805361,0.15958722718082,0.276820250116306
"15",13,"X906849",1,-1.6035361611263,0.395220064956384,0.351851874754322,0.351851874754322,0.358754708494231,-1.6035361611263
"16",14,"X906850",1,0.305505720197146,0.524959452662644,0.494574194143378,0.494574194143378,0.408381841811248,0.305505720197146
"17",15,"X907170",1,0.185322072025552,0.181022763023488,0.145794150950934,0.145794150950934,0.270301187817964,0.185322072025552
"18",16,"X907271",1,0.304244697545868,0.275601277791778,0.359526447951465,0.359526447951465,0.149641084813392,0.304244697545868
"19",17,"X907311",1,0.298263532340963,0.141175747811175,0.0892373860298737,0.0892373860298737,0.155997338643283,0.298263532340963
"20",18,"X907783",1,0.0390305379891568,0.0775244742836864,0.0221436587415249,0.0221436587415249,0.122080181353416,0.0390305379891568
"21",19,"X908440",1,-0.00266089599463912,0.0790620761751711,-0.0989290320058759,-0.0989290320058759,0.178870719634814,-0.00266089599463912
"22",20,"X908481",1,0.487498341041837,0.34779536635444,0.259712555953919,0.259712555953919,0.296931621635798,0.487498341041837
"23",21,"X909262",1,0.406521256523779,0.15506497840398,0.191966197771917,0.191966197771917,0.154268750036333,0.406521256523779
