"","Cp","AICc","GCV","BIC"
"(Intercept)",0.314936525025237,0.44132505506791,0.481735729830768,0.231283380701924
"hsa00532",0,0,0,0
"hsa00562",0,0,0,0
"hsa00565",0,0,0,0
"hsa01521",0,0,0,0
"hsa01524",0,0,0,0
"hsa03050",0.00952674358443384,0.0316819612226521,0.0385500786904997,0
"hsa03450",0,0,0,0
"hsa03460",0,0,0,0
"hsa04010",0,0,0,0
"hsa04014",0,0,0,0
"hsa04015",0,0,0,0
"hsa04020",0,0,0,0
"hsa04022",0,0,0,0
"hsa04024",0,0,0,0
"hsa04060",0,0,0,0
"hsa04062",0,0,0,0
"hsa04066",0,0,0,0
"hsa04068",0,0,0,0
"hsa04070",0,0,0,0
"hsa04071",0,0,0,0
"hsa04072",0,0,0,0
"hsa04110",0,0,0,0
"hsa04114",0,0,0,0
"hsa04115",0,0,0,0
"hsa04120",0,0,0,0
"hsa04142",0,0,0,0
"hsa04144",0,0,0,0
"hsa04150",0,0,0,0
"hsa04151",0,0,0,0
"hsa04210",-0.0716116325392547,-0.148607598352138,-0.171221798101377,-0.0209988997671499
"hsa04218",0,0,0,0
"hsa04260",0,0,0,0
"hsa04261",0,0,0,0
"hsa04270",0,0,0,0
"hsa04310",0,0,0,0
"hsa04370",0,0,0,0
"hsa04371",0,0,0,0
"hsa04380",0,0,0,0
"hsa04390",0,0,0,0
"hsa04510",0,0,0,0
"hsa04520",0,0,0,0
"hsa04550",0,0,0,0
"hsa04621",0,0,0,0
"hsa04622",0,0,0,0
"hsa04623",0,0,0,0
"hsa04625",0,0,0,0
"hsa04630",0,0,0,0
"hsa04650",0,0,0,0
"hsa04657",0,0,0,0
"hsa04658",0,0,0,0
"hsa04659",0,0,0,0
"hsa04660",0.128906748923273,0.128906748923273,0.128906748923273,0.128502652531664
"hsa04662",0,0,0,0
"hsa04664",0,0,0,0
"hsa04666",0.0312825368194007,0.0445378490310114,0.048602811442572,0.0224456620116604
"hsa04722",0.052848548217273,0.0602383875866376,0.0627016673764258,0.0470262505323191
"hsa04725",0,0,0,0
"hsa04728",-0.32790589636396,-0.373134295862438,-0.38497982906442,-0.298292063359005
"hsa04750",0,0,0,0
"hsa04810",0,0,0,0
"hsa04910",0,0,0,0
"hsa04914",0,0,0,0
"hsa04916",0,0,0,0
"hsa04919",0,0,0,0
"hsa04921",0,0,0,0
"hsa04926",0,0,0,0
"hsa04928",0,0,0,0
"hsa04931",0,0,0,0
"hsa04934",0,0,0,0
"hsa04940",0.107986610150588,0.128841634696856,0.135911134543048,0.0950847729312869
"hsa05016",0,0,0,0
"hsa05142",0,0,0,0
"hsa05145",0,0,0,0
"hsa05152",0,0,0,0
"hsa05160",0,0,0,0
"hsa05161",0,0,0,0
"hsa05162",0,0,0,0
"hsa05164",0,0,0,0
"hsa05165",0,0,0,0
"hsa05166",0,0,0,0
"hsa05167",0,0,0,0
"hsa05168",0,0,0,0
"hsa05203",0,0,0,0
"hsa05205",0,0,0,0
"hsa05206",0,0,0,0
"hsa05211",0,0,0,0
"hsa05212",0,0,0,0
"hsa05213",0,0,0,0
"hsa05214",0,0,0,0
"hsa05215",0,0,0,0
"hsa05218",0,0,0,0
"hsa05220",0,0,0,0
"hsa05222",0,0,0,0
"hsa05223",0,0,0,0
"hsa05224",0,0,0,0
"hsa05225",0,0,0,0
"hsa05226",0,0,0,0
"hsa05340",0,0,0,0
"hsa05410",0,0,0,0
"hsa05412",0,0,0,0
"hsa05414",0,0,0,0
"hsa05418",0,0,0,0
"hsa00280",0,0,0,0
"hsa00330",-0.214938955532492,-0.244077910145498,-0.251597640368209,-0.193633053234811
"hsa00480",0,0,0,0
"hsa00531",-0.0621241151957607,-0.0696751126228698,-0.0707047940902029,-0.0549163449244293
"hsa00563",0,0,0,0
"hsa00601",0,0,0,0
"hsa00830",0,0,0,0
"hsa01522",0,0,0,0
"hsa01523",0,0,0,0
"hsa03022",0,0,0,0
"hsa04012",0,0,0,0
"hsa04140",0,0,0,0
"hsa04217",0,0,0,0
"hsa04340",0,0,0,0
"hsa04360",0,0,0,0
"hsa04514",0,0,0,0
"hsa04611",0,0,0,0
"hsa04620",0,0,0,0
"hsa04668",0,0,0,0
"hsa04713",0,0,0,0
"hsa04723",0,0,0,0
"hsa04726",-1.16863826548332,-1.30075887692421,-1.34322621631593,-1.08055785785605
"hsa04912",0,0,0,0
"hsa04915",0,0,0,0
"hsa04917",0,0,0,0
"hsa04925",0,0,0,0
"hsa04933",0,0,0,0
"hsa04970",0,0,0,0
"hsa05014",0,0,0,0
"hsa05020",0,0,0,0
"hsa05032",0,0,0,0
"hsa05130",0,0,0,0
"hsa05169",-0.182451503625639,-0.217105441814275,-0.228656754543821,-0.157571753131234
"hsa05202",0,0,0,0
"hsa05210",0,0,0,0
"hsa05217",0,0,0,0
"hsa05219",0,-0.00497781787237263,-0.01055297388943,0
"hsa05230",0,0,0,0
"hsa00072",0,0,0,0
"hsa00230",0,0,0,0
"hsa00270",0,0,0,0
"hsa00340",0,0,0,0
"hsa00410",0,0,0,0
"hsa00510",0,0,0,0
"hsa00650",0,0,0,0
"hsa00770",0,0,0,0
"hsa00790",0,0,0,0
"hsa00900",0,0,0,0
"hsa00970",0,0,0,0
"hsa01210",0,0,0,0
"hsa03440",0,0,0,0
"hsa04130",0,0,0,0
"hsa04152",0,0,0,0
"hsa04211",0,0,0,0
"hsa04213",0,0,0,0
"hsa04350",0,0,0,0
"hsa04540",0,0,0,0
"hsa04612",0,0,0,0
"hsa04614",0,0,0,0
"hsa04640",0,0,0,0
"hsa04670",0,0,0,0
"hsa04672",0,0,0,0
"hsa04720",0,0,0,0
"hsa04721",0,0,0,0
"hsa04724",0,0,0,0
"hsa04727",0,0,0,0
"hsa04730",0,0,0,0
"hsa04913",0,0,0,0
"hsa04918",0,0,0,0
"hsa04923",0,0,0,0
"hsa04930",0,0,0,0
"hsa04960",0,0,0,0
"hsa04961",0,0,0,0
"hsa04973",0,0,0,0
"hsa05100",0,0,0,0
"hsa05140",0,0,0,0
"hsa05146",0,0,0,0
"hsa05150",0,0,0,0
"hsa05216",0,0,0,0
"hsa05221",0,0,0,0
"hsa05231",0,0,0,0
"hsa05310",0,0,0,0
"hsa05320",0,0,0,0
"hsa05321",0,0,0,0
"hsa05323",0,0,0,0
"hsa05330",0,0,0,0
"hsa05332",0,0,0,0
"hsa05416",0,0,0,0
"hsa00240",-0.0205559168347071,-0.0467435917063201,-0.0571623440745965,-0.00535017013506075
"hsa00564",0,0,0,0
"hsa01230",0,0,0,0
"hsa03015",0,0,0,0
"hsa03020",0,0,0,0
"hsa04136",0,0,0,0
"hsa04330",0,0,0,0
"hsa04392",0,0,0,0
"hsa04512",0,0,0,0
"hsa00030",0,0,0,0
"hsa00140",0.0542022882878569,0.0599455771130603,0.0617403548709363,0.0488179550142287
"hsa00604",0,0,0,0
"hsa03013",0,0,0,0
"hsa03018",0,0,0,0
"hsa03030",0,0,0,0
"hsa03420",0,0,0,0
"hsa03430",0,0,0,0
"hsa04064",0,0,0,0
"hsa04137",0,0,0,0
"hsa04141",0,0,0,0
"hsa04146",0,0,0,0
"hsa04714",0,0,0,0
"hsa04911",0,0,0,0
"hsa04922",0,0,0,0
"hsa04924",0,0,0,0
"hsa04927",0,0,0,0
"hsa04962",0,0,0,0
"hsa04971",0,0,0,0
"hsa04972",0,0,0,0
"hsa05030",0,0,0,0
"hsa05031",0,0,0,0
"hsa05034",0,0,0,0
"hsa05120",0,0,0,0
"hsa05131",0,0,0,0
"hsa05143",0,0,0,0
"hsa00040",0,0,0,0
"hsa00590",0,0,0,0
"hsa00600",0,0,0,0
"hsa00983",0,0,0,0
"hsa03410",0,0,0,0
"hsa04530",0,0,0,0
"hsa04950",0,0,0,0
"hsa04974",0,0,0,0
"hsa04978",0,0,0,0
"hsa00010",0,0,0,0
"hsa00020",0,0,0,0
"hsa00620",0,0,0,0
"hsa00670",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa03008",0,0,0,0
"hsa03060",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa00591",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa00980",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa00982",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa02010",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa04710",0,0,0,0
"hsa04976",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa05204",0.0538433327362817,0.0599455771130603,0.0613813993193611,0.0484589994626535
"hsa00520",0,0,0,0
"hsa03010",0,0,0,0
"hsa04216",0,0,0,0
"hsa04742",0,0,0,0
"hsa00534",0,0,0,0
"hsa04975",0,0,0,0
