"","Cp","AICc","GCV","BIC"
"(Intercept)",0.664770467320333,0.71734017208326,0.715614887184346,0.617403887693594
"hsa00532",0,0,0,0
"hsa00562",0,0,0,0
"hsa00565",0,0,0,0
"hsa01521",0,0,0,0
"hsa01524",0.0851370642363166,0.144428948258037,0.147469557695049,0.0592918840217204
"hsa03050",0,0,0,0
"hsa03450",0,0,0,0
"hsa03460",0,0,0,0
"hsa04010",0,0,0,0
"hsa04014",0,0,0,0
"hsa04015",0,0,0,0
"hsa04020",0,0,0,0
"hsa04022",0,0,0,0
"hsa04024",0,0,0,0
"hsa04060",0,0,0,0
"hsa04062",0,0,0,0
"hsa04066",0,0,0,0
"hsa04068",0,0,0,0
"hsa04070",0,0,0,0
"hsa04071",0,0,0,0
"hsa04072",0,0,0,0
"hsa04110",0,0,0,0
"hsa04114",0,0,0,0
"hsa04115",0,0,0,0
"hsa04120",0,0,0,0
"hsa04142",0,0,0,0
"hsa04144",0,0,0,0
"hsa04150",0,0,0,0
"hsa04151",0,0,0,0
"hsa04210",-0.899650243064801,-1.13064152168954,-1.14178583776354,-0.806443235900432
"hsa04218",0,0.0535310478390271,0.0609659155944475,0
"hsa04260",0,0,0,0
"hsa04261",0,0,0,0
"hsa04270",0,0,0,0
"hsa04310",0,0,0,0
"hsa04370",0,0,0,0
"hsa04371",0,0,0,0
"hsa04380",0,0,0,0
"hsa04390",0,0,0,0
"hsa04510",0.26672829692852,0.329042549704395,0.333119183063564,0.24285087296767
"hsa04520",0,0,0,0
"hsa04550",0,0,0,0
"hsa04621",0,0,0,0
"hsa04622",0,0,0,0
"hsa04623",0,0,0,0
"hsa04625",0,0,0,0
"hsa04630",0,0,0,0
"hsa04650",0,0,0,0
"hsa04657",0,0,0,0
"hsa04658",0,0,0,0
"hsa04659",0,0,0,0
"hsa04660",0,0,0,0
"hsa04662",0,0,0,0
"hsa04664",0,0,0,0
"hsa04666",0,0,0,0
"hsa04722",0,0,0,0
"hsa04725",0,0,0,0
"hsa04728",-0.14476443987908,-0.14476443987908,-0.14476443987908,-0.14476443987908
"hsa04750",0,0,0,0
"hsa04810",0,0,0,0
"hsa04910",0,0,0,0
"hsa04914",0,0,0,0
"hsa04916",0,0,0,0
"hsa04919",0,0,0,0
"hsa04921",0,0,0,0
"hsa04926",0,0,0,0
"hsa04928",0,0,0,0
"hsa04931",0,0,0,0
"hsa04934",0,0.0650448154086783,0.0708149200013837,0
"hsa04940",0,0,0,0
"hsa05016",0.081588112730216,0.123232045269597,0.12535673570528,0.0624658988090715
"hsa05142",0,0,0,0
"hsa05145",0,0,0,0
"hsa05152",0,0,0,0
"hsa05160",0,0,0,0
"hsa05161",0,0,0,0
"hsa05162",0,0,0,0
"hsa05164",0,0,0,0
"hsa05165",0,0,0,0
"hsa05166",0,0,0,0
"hsa05167",0,0,0,0
"hsa05168",0,0,0,0
"hsa05203",0,0,0,0
"hsa05205",0,0,0,0
"hsa05206",0,0,0,0
"hsa05211",0,0,0,0
"hsa05212",0,0.032007105687085,0.0351297501443616,0
"hsa05213",0,0,0,0
"hsa05214",0,0,0,0
"hsa05215",0,0,0,0
"hsa05218",0,0,0,0
"hsa05220",0,0,0,0
"hsa05222",0,0,0,0
"hsa05223",0.0863741990320958,0.120649674838483,0.121335184354611,0.0706074801611576
"hsa05224",0,0,0,0
"hsa05225",0,0,0,0
