"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"1765","X1327775","X38",0.255553948989248,0.0242174373987282
"2798","X687807","X38",0.444394864083972,0.267555270606342
"3217","X724863","X38",0.426370855334748,0.404485060305673
"3262","X724872","X38",-0.0359094396600921,0.0503729081375896
"3374","X749716","X38",0.141531188778985,0.236378690702303
"3889","X753596","X38",0.494786601329143,0.229781426767066
"4187","X905948","X38",0.847830913539662,0.0425251218178361
"4605","X906746","X38",-0.384269468884234,-0.00688235692052469
"5731","X907274","X38",0.325258585008049,0.153793150490712
"6267","X908135","X38",0.498691177976334,0.220659141143589
"6451","X908440","X38",-0.726830350228805,-0.170323386657333
"6953","X909703","X38",0.326793973069596,-0.173199880652465
"7204","X909732","X38",-0.0465325288530259,-0.0735121003928017
"7441","X909773","X38",0.323958443836577,0.145739454278211
"7953","X910905","X38",0.438643096650651,0.433794728613968
"8197","X910947","X38",0.013305944896044,-0.0963656409815228
"8920","X949163","X38",0.264496183319695,0.0543605205420835
