"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"40","X1240125","X200",-1.07009228703688,-0.422310406549964
"151","X1240141","X200",-1.01495012705739,-0.395122389790582
"330","X1240162","X200",-1.36928941858307,-0.554754203724809
"410","X1240179","X200",-1.6269252193111,-0.704566783278999
"424","X1240181","X200",-2.16302983264603,-0.669262208550506
"557","X1240197","X200",-1.8599141538165,-0.721164792802999
"904","X1290797","X200",-1.56540077318274,-0.715111715129805
"1573","X1299078","X200",-1.66302652549362,-0.639175225504747
"1900","X1330983","X200",-2.42260265597874,-0.979710311694438
"1971","X1331031","X200",-2.21063121521451,-0.958627206684695
"2011","X1331035","X200",-1.87633206409321,-0.867870924629862
"3330","X749712","X200",-1.49174562110411,-0.466405642503751
"3333","X749713","X200",-2.20797782524044,-0.800951822895775
"3348","X749714","X200",-1.73754182684174,-0.697689034450284
"3423","X753535","X200",-2.05018829877438,-0.867855193484716
"3658","X753566","X200",-1.6468413458406,-0.716492210577897
"4015","X753621","X200",-2.31226675071132,-0.660709406595503
"4115","X905939","X200",-2.22245291921835,-0.77879273951129
"4593","X906696","X200",-1.87821188135835,-0.900037906668339
"4746","X906805","X200",-1.53508442993608,-0.761166556045998
"4884","X906830","X200",-0.741006895296423,-0.5423677549087
"5216","X906869","X200",-2.01353294842174,-0.825448275422184
"5946","X907314","X200",-1.43320983804752,-0.587580091684013
"6236","X908129","X200",-1.56538498832222,-0.723375405432678
"6437","X908159","X200",-2.06659616615528,-1.02009324181717
"6832","X909256","X200",-2.28667843875359,-0.915510922269638
"6848","X909260","X200",-2.28870513059867,-1.05797646001177
"7232","X909738","X200",-1.94319159724285,-0.614244324777995
"7500","X909780","X200",-1.58085289903609,-0.660123878531968
"7508","X909781","X200",-1.90511793726739,-0.690877881531707
"7585","X909977","X200",-1.55093395960568,-0.271244362554894
"7862","X910784","X200",-2.17961546445562,-0.769816960100426
"8151","X910942","X200",-2.26057811646779,-1.00333924240886
"8240","X911905","X200",-1.72311153792437,-0.712638794202825
"8581","X930298","X200",-1.8427758486662,-0.403172984659128
"8613","X946354","X200",-1.7983350260049,-0.655376715604448
