"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"187","X1240146","X1042",1.17743545426702,0.516588555012025
"237","X1240154","X1042",0.11214577172204,0.274602726157454
"700","X1240218","X1042",0.388538272893071,0.648973341284741
"868","X1290769","X1042",1.19449995632652,0.796119439347377
"974","X1290813","X1042",0.959707560862753,0.283937516548467
"1243","X1298219","X1042",0.641988661692208,0.563777892615493
"1395","X1298365","X1042",0.516839045412197,0.337407180370489
"1458","X1298537","X1042",0.635598313145008,0.511249603356325
"1788","X1330941","X1042",0.846147856482216,0.609081046594136
"1813","X1330943","X1042",0.234065107932628,0.440699575052208
"1853","X1330964","X1042",0.855895469719933,0.473786618630584
"1923","X1330987","X1042",0.638125102773616,0.317517269747883
"2079","X1331045","X1042",-0.091466643185244,0.462049403377899
"2151","X1479992","X1042",0.994860522823618,0.270871515563141
"2374","X1524418","X1042",0.39761430165218,0.500215958467027
"2603","X687561","X1042",0.780394275987109,0.372493526533301
"3309","X749710","X1042",1.3805355891143,0.473841160006733
"3391","X753532","X1042",1.26280792409143,0.543722538958534
"3643","X753565","X1042",0.651056616968118,0.59642915062659
"3806","X753588","X1042",0.917890583291477,0.809081814100687
"3962","X753614","X1042",1.16342051927179,0.443790770294072
"4176","X905948","X1042",1.45040546365422,0.782035826260571
"4256","X905959","X1042",0.96737184593939,0.542361085444908
"4487","X905981","X1042",1.04242436461897,0.403225651939176
"4513","X905984","X1042",0.817251020024762,0.457249032412053
"4694","X906797","X1042",0.851652933740579,0.523340127061429
"4848","X906826","X1042",1.00625437655741,0.484438561265389
"4870","X906828","X1042",0.944294838041354,0.396737009255885
"5004","X906841","X1042",0.921416482169503,0.407409734841624
"5157","X906861","X1042",1.11904596568196,0.442404145110113
"5528","X907067","X1042",1.06292547320181,0.39207825105182
"5839","X907289","X1042",0.905676530173932,0.60683110109712
"5898","X907300","X1042",0.930629970755597,0.449826336307719
"6278","X908138","X1042",0.50883773213281,0.492537895171905
"6289","X908139","X1042",0.500997090406473,0.423035695013431
"6635","X908467","X1042",0.560991927387582,0.487575165361002
"7163","X909729","X1042",0.143859259872164,0.399290006510581
"7167","X909730","X1042",0.693861818442587,0.419277695550029
"7430","X909773","X1042",0.92863156750886,0.428906723242532
"7545","X909905","X1042",0.95895723682947,0.456378632569908
"7617","X910401","X1042",0.844046881201796,0.315562797742141
"8232","X911905","X1042",0.916513361601465,0.686338300061021
"8575","X930298","X1042",1.30801920830703,0.679070996679546
"8692","X946367","X1042",1.30354566724937,0.577239522215114
"8850","X949157","X1042",0.641338681632942,0.431224355321927
