"","testcdpg.COSMIC_ID","testcdpg.DRUG_ID","y","testcdpg.IC50_Normal.z"
"1","X1240121","X1009",0.128549263451516,0.34231154032384
"2","X1240121","X1043",0.301890074840748,0.442934346956089
"3","X1240121","X1060",-0.769183764491804,-1.82283593399719
"4","X1240121","X1072",0.269681860433264,0.852240568773751
"5","X1240121","X1199",0.398515241281137,0.419670377878934
"6","X1240121","X1268",0.246246981724319,0.0746977161680183
"7","X1240121","X140",-1.02217321692112,-1.56914069880713
"8","X1240121","X182",-0.694253669925768,-0.647080339088052
"9","X1240122","X1004",-1.25289032661649,-2.70939784948877
"10","X1240122","X1006",-0.354066556652107,-1.39159851814277
"11","X1240122","X1008",-0.480393331313419,-0.518804832691632
"12","X1240122","X1031",-0.969708303165013,-2.55686520256326
"13","X1240122","X1039",0.271622504979088,0.996707292384537
"14","X1240122","X1066",0.198738311939057,-0.264152544263947
"15","X1240122","X159",0.00231985466410702,-0.346412828571112
"16","X1240122","X184",-0.124951999227235,0.44763406747693
"17","X1240122","X192",0.421922141667961,1.33556050508793
"18","X1240122","X238",0.824252239716918,1.25143587060975
"19","X1240122","X245",0.599402153220548,1.23439416274607
"20","X1240122","X300",0.61479928022328,0.859538180999719
"21","X1240123","X1008",-0.539426562611028,-1.01361054220942
"22","X1240123","X1029",0.447270860056402,0.419523920829255
"23","X1240123","X1033",0.432479854193342,0.949979852363705
"24","X1240123","X1066",0.319552662610596,0.271911579721374
"25","X1240123","X1242",-0.0159633437874344,0.236088729267616
"26","X1240123","X194",-0.785048804573304,-1.484678877243
"27","X1240123","X221",0.357477034244647,0.0113047076165327
"28","X1240123","X275",0.346563138682233,-0.266139958705634
"29","X1240123","X276",-0.0799698308382474,-0.707069530173359
"30","X1240124","X1001",1.24318023296518,3.21009195177952
"31","X1240124","X1029",0.656721659338814,0.973919300405184
"32","X1240124","X1066",0.543407387066734,0.672833479999725
"33","X1240124","X1192",0.454877970360735,1.21810846545601
"34","X1240124","X1241",0.599918159072468,0.61879979633107
"35","X1240124","X1373",0.566109445380478,0.352295091408776
"36","X1240124","X1498",-0.070543714531117,-0.804235171536032
"37","X1240125","X1024",-0.351122434397771,-0.565680067336934
"38","X1240125","X1199",0.706249307103507,0.795520580445288
"39","X1240125","X186",0.545331907365722,1.00043401592404
"40","X1240125","X200",-0.422310406549964,-1.07009228703688
"41","X1240125","X276",0.0966881764705058,0.247074297533906
"42","X1240125","X300",0.686098400222245,1.09162626257846
"43","X1240127","X1015",0.309178352733663,0.656436645763371
"44","X1240127","X1023",0.170697080449907,-0.0981813351444292
"45","X1240127","X1026",-0.149061899900826,-0.59268533656285
"46","X1240127","X1241",0.548678009134465,1.20252643965971
"47","X1240127","X1243",0.335672044269211,0.709396437927934
"48","X1240127","X1502",0.747372926621941,1.22380500435232
"49","X1240127","X268",-0.822471683005611,-2.88917213210255
"50","X1240127","X312",-0.0797542707294694,-0.588831210871995
"51","X1240127","X328",-0.0985201669067065,-0.593739921911466
"52","X1240128","X1008",-0.515850323420512,-1.28894144130662
"53","X1240128","X1502",0.405482807881906,0.873880799648962
"54","X1240128","X170",-0.428297254224338,-0.548089458684643
"55","X1240128","X175",0.0768424091511781,-0.108291586338695
"56","X1240128","X196",0.941149657568537,1.39232808078029
"57","X1240128","X274",-0.358607378963157,-1.24899571239292
"58","X1240128","X283",-0.643239335855578,-1.37240331856082
"59","X1240128","X293",0.332286746045636,0.0637683777723553
"60","X1240128","X52",0.0895708493437811,0.160512272935582
"61","X1240129","X1018",0.518559717811967,1.01783245350646
"62","X1240129","X1133",0.113960344135824,0.328198618737778
"63","X1240129","X1236",0.629919509648044,1.49468459495406
"64","X1240129","X140",-0.933269333452264,-1.6972857953564
"65","X1240129","X163",-0.311468507755071,-1.46912870937445
"66","X1240129","X172",0.325700792989209,0.297189744295696
"67","X1240129","X180",-0.910349795594506,-1.8311024085465
"68","X1240129","X184",-0.165703302009361,-0.413396456884702
"69","X1240129","X186",0.289421751383061,0.920425254265468
"70","X1240129","X229",0.436483550800108,1.10190119805014
"71","X1240129","X254",0.24578657217885,0.186963948776248
"72","X1240130","X1023",-0.185371307560906,-0.551328891164996
"73","X1240130","X1219",-0.0312460928441804,-0.392432233352807
"74","X1240130","X1248",-0.364720611482913,-1.05410736302181
"75","X1240130","X150",-0.0396194827262363,-0.0977658186441468
"76","X1240130","X170",-0.542832042154219,-1.00896057429785
"77","X1240130","X203",0.310707254768252,0.275033793354588
"78","X1240130","X205",0.563949768821629,1.00295482341567
"79","X1240131","X1194",0.642297113031169,1.26680020426137
"80","X1240131","X274",-0.00701875796840585,-0.13785348936887
"81","X1240131","X295",0.582483939004405,0.320538501573748
"82","X1240132","X1009",0.5215974808835,0.700160195790565
"83","X1240132","X1015",0.252026978399904,0.62230268670572
"84","X1240132","X1030",0.476328542818012,0.836761964851467
"85","X1240132","X1133",0.092662970831492,0.541665401608901
"86","X1240132","X171",0.142595221872337,0.249234820757223
"87","X1240132","X202",0.20118153664776,0.481342681446057
"88","X1240132","X206",0.668608854051175,1.07208612019375
