"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"39","X1240125","X186",1.00043401592404,0.545331907365722
"69","X1240129","X186",0.920425254265468,0.289421751383061
"343","X1240167","X186",0.868320711856108,0.162451624023494
"380","X1240172","X186",0.868814095900981,0.286479276929138
"455","X1240184","X186",0.137414673036691,0.231214398299102
"622","X1240205","X186",0.865855206800651,0.307184197357879
"693","X1240217","X186",-0.187477469768981,-0.0433275699828666
"808","X1290722","X186",0.260268999890772,0.104826032306828
"936","X1290807","X186",1.41099740285685,0.290751672165377
"1144","X1298145","X186",0.0828878344105591,0.169903975270975
"1273","X1298226","X186",0.622385180337708,0.459051266300016
"1818","X1330943","X186",0.718864616273024,0.131636789343434
"2010","X1331035","X186",0.214178215910709,0.00933641371878314
"3021","X688031","X186",0.565351345972897,0.370142097826043
"3164","X724831","X186",0.470049064532499,0.1521760163459
"3211","X724863","X186",0.99441342921239,0.4673525151444
"3271","X724873","X186",0.622684043319424,0.213639702516212
"3329","X749712","X186",0.553587190939693,0.311804248994426
"3549","X753554","X186",0.421330226905272,0.17059276539939
"3594","X753561","X186",0.770920270693276,0.156542138516906
"3798","X753586","X186",0.134223773829481,0.0501985627424155
"4667","X906793","X186",-0.17379850252355,-0.0167054955822969
"5132","X906854","X186",0.635505754447466,0.248721095834099
"5151","X906856","X186",-0.115735241779048,-0.4483393727798
"5188","X906864","X186",0.304585051210805,0.13350747355286
"5296","X906877","X186",0.958996654641261,0.0591226878541374
"5315","X907000","X186",0.733669921256195,0.102678078299791
"5440","X907057","X186",0.31893238093148,-0.072674047636425
"5454","X907058","X186",0.703449724511288,0.157758340448509
"5567","X907072","X186",0.947879671499252,0.107298608950611
"5635","X907173","X186",0.98668195501974,0.358135497063929
"5664","X907268","X186",0.111156635164225,0.0774545274825656
"5844","X907289","X186",0.809205178806689,0.360089749206169
"6199","X908125","X186",0.606778682834665,0.0919746380485289
"6262","X908135","X186",1.0660015700644,0.39884373465153
"7222","X909737","X186",-0.0722571256410967,0.0420735694674182
"7364","X909757","X186",1.40959366245337,0.577888277520637
"7419","X909771","X186",0.643293942550238,-0.0325263073606483
"7584","X909977","X186",0.247928024966419,0.333607515290785
"7593","X910079","X186",0.320781397026855,0.303290749698034
"7627","X910401","X186",0.591294732308176,0.100278336416932
"7654","X910545","X186",0.131189463246746,-0.0418771314609492
"7717","X910567","X186",0.55337374799669,0.469354230434527
"7875","X910849","X186",0.0409737939879565,0.221102539896008
"8167","X910944","X186",-0.394892000138512,-0.288349324067472
"8225","X910952","X186",1.08721511088638,0.207229161450666
"8311","X924108","X186",0.386510845751357,0.37192395328377
"8687","X946361","X186",0.260459914674936,-0.0201531363598146
