"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"416","X1240181","X1017",0.0674286401025739,0.434238495691569
"782","X1287381","X1017",0.870465339370171,0.455808390025829
"1091","X1297447","X1017",0.611339605953731,0.459241689554139
"1130","X1298141","X1017",0.441051285517834,0.368005143238529
"1194","X1298168","X1017",0.828222621349866,0.495929330553462
"1225","X1298216","X1017",0.82753701820066,0.449757122321936
"1310","X1298351","X1017",0.405860827123331,0.378475135093264
"1484","X1299050","X1017",-0.100530618991404,0.266861027478531
"1620","X1303900","X1017",0.430756655920082,0.62175960017719
"1693","X1327768","X1017",0.148498889291283,0.0305216740986911
"1782","X1330935","X1017",0.617843858970757,0.335552407386467
"1787","X1330941","X1017",0.975902255032582,0.445062647372205
"1877","X1330982","X1017",0.066700759244096,-0.0916123150911435
"1921","X1330987","X1017",0.38293589630607,0.0306583659206164
"1934","X1330991","X1017",0.910612044438631,0.0560735353937808
"2183","X1480359","X1017",1.15713866208096,0.615466385533488
"2355","X1524416","X1017",0.445743387035309,0.183032853660098
"2373","X1524418","X1017",0.957027227255049,0.444813755193605
"2691","X687600","X1017",0.778739367119598,0.539383644978
"2731","X687787","X1017",0.726777620056553,0.379651382450731
"2768","X687802","X1017",0.311134984993408,0.683901773011623
"2839","X687821","X1017",0.830884158706296,0.328883543839979
"2947","X688014","X1017",0.843833449343668,0.476623479588775
"3039","X688087","X1017",0.804562209145551,0.380862935223873
"3173","X724838","X1017",0.672903311010696,0.169443420794014
"3552","X753555","X1017",0.808771013853453,0.325630490442357
"3770","X753583","X1017",0.856201075999972,0.495855575082584
"3805","X753588","X1017",0.175538795053357,0.420002789482113
"4088","X905937","X1017",0.83329869181634,0.357193234424254
"4117","X905940","X1017",0.621154286373847,-0.0556069643099289
"4289","X905963","X1017",0.187248863291567,0.344356356339166
"4332","X905967","X1017",1.04048794429244,0.68082028264075
"4356","X905970","X1017",1.13529419609805,0.663318637111797
"4380","X905971","X1017",0.581873949189169,0.290664613971822
"4607","X906763","X1017",0.141817023338843,-0.0709894677046859
"4760","X906808","X1017",0.953198282702867,0.607771296631574
"4978","X906838","X1017",0.456015152233046,0.251184160276192
"5210","X906869","X1017",0.903553887659885,0.288192062800373
"5464","X907060","X1017",-0.0473173933535593,0.0695679165237321
"5788","X907281","X1017",0.480957171699576,0.197101076421071
"5820","X907286","X1017",0.78812846227892,0.213968994801098
"5878","X907298","X1017",0.253744225077094,0.227751416563957
"6117","X907794","X1017",0.562064473926966,0.29596681653104
"6294","X908141","X1017",0.139124559184072,0.0772840998340108
"6335","X908147","X1017",-0.207876922667718,-0.0670723709368364
"6381","X908151","X1017",0.33191212541257,0.48882196151605
"6483","X908446","X1017",0.32197262561674,0.444890725657733
"6511","X908449","X1017",0.453856724050907,0.319898116496312
"6717","X908476","X1017",0.901772153054472,0.798863321834835
"6836","X909257","X1017",0.59798965254718,0.265704352606167
"6858","X909263","X1017",1.04207973219268,0.401706258798783
"7166","X909730","X1017",0.0187039718316453,-0.148922297075753
"7677","X910549","X1017",0.95511950197224,0.445455388025125
"7723","X910568","X1017",0.374640804307155,0.0872575649848583
"7897","X910852","X1017",0.943318079592791,0.421423698671281
"7940","X910904","X1017",0.386374228374793,0.356716996457193
"8026","X910921","X1017",-0.0977874082836573,0.225977630822327
"8367","X924188","X1017",0.985593217174462,0.504586504782356
"8649","X946357","X1017",0.321814171038481,0.337853285113692
"8879","X949160","X1017",0.219577059432025,0.0434196838944872
"8991","X949171","X1017",0.0576657075690483,0.256234520280589
