"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"22","X1240123","X1029",0.419523920829255,0.447270860056402
"31","X1240124","X1029",0.973919300405184,0.656721659338814
"533","X1240192","X1029",0.259889121260262,0.2595221958701
"710","X1240219","X1029",-0.279733572421595,0.242203809864032
"840","X1290765","X1029",-0.021378936092234,0.262492863850482
"1092","X1297447","X1029",0.267354469798949,0.319042222068929
"1202","X1298169","X1029",0.0917896939350962,0.341424078381726
"1261","X1298223","X1029",0.256065571346739,0.342790783729153
"1332","X1298353","X1029",0.751077219347857,0.611253184941453
"1470","X1298538","X1029",0.171441592856455,0.297309486586928
"1721","X1327771","X1029",0.429451179229279,-0.0382535462320152
"2238","X1503361","X1029",-0.151755070443023,0.183851132678153
"2403","X1660034","X1029",0.471267129602235,0.308565992371425
"2411","X1660035","X1029",0.602947347644667,0.637658994287516
"2570","X687459","X1029",0.221210127402883,0.312681648603156
"2634","X687568","X1029",0.571492111193037,0.183507815943995
"2893","X687997","X1029",0.554592792230292,0.5184208717119
"3832","X753592","X1029",-0.359249112613449,-0.0367797129560987
"3916","X753605","X1029",0.373050132284226,0.349681394953001
"3926","X753607","X1029",0.205068027265022,0.40604203282126
"3933","X753608","X1029",0.168681592259621,0.284658834469019
"4113","X905939","X1029",0.457747511114896,0.299881340539962
"4148","X905945","X1029",0.549684916251326,0.43822274564119
"4267","X905960","X1029",0.526592692516305,0.34532551088551
"4319","X905965","X1029",0.27466310038963,-0.107910744170484
"4394","X905972","X1029",0.29148362437333,0.290964371365679
"4437","X905977","X1029",0.375211630976451,0.333027053012444
"4580","X906693","X1029",0.054352490472679,0.227367441504098
"4752","X906807","X1029",0.225132583951767,0.149280257410579
"4980","X906838","X1029",0.174536681803096,0.185332390142036
"6050","X907786","X1029",-0.247631770051879,0.120108948908974
"6098","X907791","X1029",0.181508165952372,0.362568206770003
"6119","X907794","X1029",0.538641954202645,0.325126644520551
"6353","X908149","X1029",0.487672942586494,0.265954584944911
"6908","X909700","X1029",0.493083949909499,0.250702450105182
"7122","X909723","X1029",0.325107472311307,0.284057263615381
"7794","X910692","X1029",0.48753261916707,0.340308947424115
"8254","X924100","X1029",0.472513956224931,0.4213185143919
"8296","X924107","X1029",0.399716899019155,0.233667414629768
"8399","X924239","X1029",0.269325412117935,0.128430271986832
"8483","X925341","X1029",0.265430571685036,0.3408163370114
"8631","X946356","X1029",0.462427666833202,0.281965753102144
"8798","X949094","X1029",0.386300861289029,0.320328095196862
"8880","X949160","X1029",0.277198628593874,0.0848426099006716
"8893","X949161","X1029",0.124932709600478,0.253283920493972
"9046","X949177","X1029",0.173591788672202,0.199941631702649
