"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"1619","X1303897","X87",-1.86335927352304,-0.728206384296694
"1711","X1327768","X87",-2.32079237852888,-0.972965020087707
"1775","X1330931","X87",-2.19319835170855,-1.24919366560491
"1893","X1330982","X87",-2.29525531194345,-1.15485301729165
"3485","X753546","X87",-1.48762918665089,-0.547194760270656
"4378","X905970","X87",0.0825058902985348,-0.438981681274094
"4455","X905977","X87",-1.5170936868936,-0.43386247839551
"4686","X906794","X87",-1.80475001622691,-0.694951554427561
"4991","X906838","X87",-1.8852975027598,-0.779516344818505
"5143","X906855","X87",-1.91934451576109,-1.30909844572957
"5249","X906871","X87",-2.65395950537211,-0.99251674039202
"5924","X907311","X87",-2.13440290178456,-1.09588582396253
"6566","X908454","X87",-2.17505363976681,-0.99478389243782
"6681","X908471","X87",-1.9862748036612,-0.581870772154645
"6893","X909697","X87",-1.79817821198799,-0.817021195873132
"8519","X925343","X87",-2.0608064736732,-0.893950683946701
