"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"60","X1240128","X52",0.160512272935582,0.0895708493437811
"1919","X1330985","X52",-0.0650420403017395,-0.352969912753864
"2678","X687590","X52",0.484266900755607,0.315720231090801
"3100","X713885","X52",-0.978940064167367,0.169003788925944
"3528","X753551","X52",0.10612490049862,0.340897817269308
"4637","X906765","X52",0.242712318342706,-0.0173172080537179
"5264","X906872","X52",0.347424479081096,-0.0348583016763854
"6546","X908451","X52",0.299259681929035,0.00614717287601137
"6660","X908469","X52",0.156422190922718,0.186997450676189
"7191","X909731","X52",0.272547563279789,0.016702350855763
"7410","X909769","X52",-0.35156769771159,-0.0256671997092534
"7843","X910780","X52",0.137016053579278,0.0336566549929983
"8072","X910930","X52",-0.208658354552283,-0.201985757605052
"8153","X910942","X52",-0.215990403786678,-0.028295014984778
"8528","X925345","X52",-0.93844711567094,-0.194204332758578
"8708","X946368","X52",0.471922278907722,0.263966649983699
"8722","X946369","X52",-0.337346624705287,0.00383202551239048
