"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"230","X1240153","X1047",0.816742841368114,0.0106918052733901
"298","X1240160","X1047",0.896943271582283,0.383596628707566
"845","X1290767","X1047",0.390965195197241,0.331197976208958
"1396","X1298365","X1047",-0.314096696468477,0.0138354186844205
"1624","X1303900","X1047",0.581095602594522,0.679056381472349
"1789","X1330941","X1047",0.538453167714281,0.527729970516789
"1814","X1330943","X1047",0.860937280535964,0.211233330926463
"1842","X1330950","X1047",0.354608693046482,0.09394991212925
"2132","X1479988","X1047",-0.408906366110221,0.101480689523075
"2336","X1524414","X1047",1.04847408237938,0.371577482935471
"2552","X687455","X1047",1.05211487967093,0.469188305719692
"2624","X687563","X1047",-0.394344625367552,0.206485846959962
"2780","X687804","X1047",0.814797327749985,0.726665317806043
"2853","X687829","X1047",0.54941817353938,0.422442974529567
"2907","X688006","X1047",0.882107952455394,0.582470216402676
"3005","X688026","X1047",0.528238581991373,0.45105074219823
"3156","X724828","X1047",1.11081218412091,0.407169622037231
"3182","X724839","X1047",1.10644818748265,0.473879385629268
"3282","X724878","X1047",0.380414128125365,0.316056878464572
"3950","X753612","X1047",1.04558112241439,0.476598258615732
"4010","X753621","X1047",1.18437113796838,0.544694560087518
"4103","X905938","X1047",0.389183479066618,0.123109798115304
"4177","X905948","X1047",0.663962683986973,0.507866052906161
"4233","X905957","X1047",1.05493310911066,0.441703306589464
"4514","X905984","X1047",0.668805513925559,0.355294808746757
"5071","X906848","X1047",0.301411174675035,0.408647964360832
"5436","X907057","X1047",0.298094709710596,0.304145831119437
"5458","X907059","X1047",0.850965534841792,0.280480378152675
"5689","X907270","X1047",-0.487474526464457,0.053904943266378
"6404","X908156","X1047",-0.87131683077994,-0.252113249306789
"6484","X908446","X1047",0.726483837642068,0.665857410910517
"7304","X909750","X1047",0.872581637641357,0.584262249294288
"7445","X909774","X1047",0.791618970849359,0.272999091234298
"7690","X910554","X1047",0.312847073335748,0.607012453957953
"8233","X911905","X1047",0.674200060210737,0.546303443505631
"8386","X924238","X1047",-0.601881765527923,0.242865475815739
"8683","X946361","X1047",0.901700278731734,0.342565509742217
"8965","X949168","X1047",0.858620176078087,0.564472829384451
