"","COSMIC_ID","DRUG_ID","IC50_Normal","pre"
"84","X1240132","X1030",0.836761964851467,0.476328542818012
"92","X1240134","X1030",1.06099363462318,0.368508222585438
"171","X1240144","X1030",1.01071543974196,0.409404617204186
"417","X1240181","X1030",0.449700650088418,0.38624321292328
"482","X1240187","X1030",0.523087799474427,0.346096616696883
"510","X1240190","X1030",0.700756210988449,0.260772950314907
"1108","X1297449","X1030",0.494106293054731,0.0614298069597683
"1203","X1298169","X1030",0.522228706962919,0.307917341278702
"1579","X1299080","X1030",0.602236999361831,0.14487254933417
"1669","X1323913","X1030",0.455151444719014,-0.0115602491046917
"1739","X1327773","X1030",0.302929684168504,0.215729374198384
"1943","X1330994","X1030",0.0285544453097682,-0.0423705300682276
"1953","X1331025","X1030",1.12122625323555,0.472946979127389
"2114","X1331050","X1030",0.0818313904980764,0.171362989884602
"2428","X683665","X1030",0.179344986054263,0.0703503802169463
"2522","X684681","X1030",0.664799130100987,0.466076731978245
"2562","X687457","X1030",0.772365357676611,0.342970961728762
"2717","X687780","X1030",0.996267097259868,0.0851298268907493
"2822","X687819","X1030",1.17083519885161,0.432159245937241
"3017","X688031","X1030",0.140105237983058,0.200678382626605
"3054","X688121","X1030",0.693696276934911,0.11360195827989
"3252","X724872","X1030",0.913319251475765,0.485828271829966
"3980","X753616","X1030",1.02071891773531,0.272213952120448
"4126","X905941","X1030",1.13836182042198,0.568169731338689
"4438","X905977","X1030",1.05212098743648,0.388207733350478
"4521","X905985","X1030",0.578710122939119,0.273724077147777
"4730","X906804","X1030",1.01356287412961,0.320948654890975
"4901","X906832","X1030",0.234979007755938,0.0203453971686401
"5225","X906870","X1030",0.917359133789435,0.0977018266680412
"5466","X907060","X1030",0.321774472409883,0.168504114970766
"5534","X907068","X1030",0.65008181315233,0.333389582173653
"5760","X907278","X1030",0.649457516746023,0.209954540446707
"6260","X908135","X1030",0.965998289647701,0.221594530520944
"6442","X908440","X1030",0.652749883194479,0.115044875646842
"6503","X908448","X1030",0.25346619796346,0.00264939265778006
"6537","X908451","X1030",0.0670475088813065,-0.0843703825345023
"6784","X909250","X1030",1.21717749123185,0.343177906798815
"6937","X909703","X1030",0.026095432295492,0.0472944962086849
"7067","X909718","X1030",0.462314239012957,0.423389658843754
"7181","X909731","X1030",0.3688339598301,0.243453284740791
"7227","X909738","X1030",0.525378599526404,0.380801006496599
"7382","X909759","X1030",0.384721166986275,0.267636017119636
"7428","X909773","X1030",0.367048179245693,0.107138673424481
"7702","X910566","X1030",0.389901402013325,0.0546583858424088
"7869","X910849","X1030",0.180041090274064,0.251995238627259
"8317","X924110","X1030",0.651242558338833,0.182857490435248
"8340","X924186","X1030",0.814669009249058,0.295765954469987
"8461","X925339","X1030",0.486288789155301,0.450675250508794
"8484","X925341","X1030",0.879847151767303,0.547668124683981
"8650","X946357","X1030",0.547128330481522,0.278858528083755
"8993","X949171","X1030",0.978746234634515,0.334433042161724
