"","X","CName","PName","DRUG","Cp","AICc","GCV","BIC","cc_real...2.","Acta_Normal"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"A549_LUNG","A549","17-AAG",1.0943525579298,1.09619836427887,1.09619836427887,1.22569936563674,0.968132825797835,0.968132825797835
"4",2,"CALU6_LUNG","Calu-6","17-AAG",1.56541957415489,1.56394088706589,1.56394088706589,1.46619079809356,1.00802213062584,1.00802213062584
"5",3,"CHL1_SKIN","CHL-1","17-AAG",1.31129090549002,1.31226707540961,1.31226707540961,1.19921250017002,1.16803263749272,1.16803263749272
"6",4,"CHP212_AUTONOMIC_GANGLIA","CHP-212","17-AAG",1.25631046104729,1.25713669194036,1.25713669194036,1.14246508186557,2.41878251209158,2.41878251209158
"7",5,"COLO320_LARGE_INTESTINE","COLO-320","17-AAG",1.11097307739848,1.10901407027063,1.10901407027063,1.30296809885445,0.859473323360512,0.859473323360512
"8",6,"F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","F-36P","17-AAG",1.31762900374074,1.30816078832927,1.30816078832927,1.37293733757624,1.44492657814945,1.44492657814945
"9",7,"FU97_STOMACH","FU97","17-AAG",1.28834066602172,1.29384034155789,1.29384034155789,1.28053789466124,1.95493983273607,1.95493983273607
"10",8,"GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","GRANTA-519","17-AAG",1.3573374324911,1.34810375613482,1.34810375613482,1.24781635130856,0.871129289057007,0.871129289057007
"11",9,"HCC2935_LUNG","HCC2935","17-AAG",1.1712170048609,1.17558298026048,1.17558298026048,1.2138827229893,2.13256379887766,2.13256379887766
"12",10,"HDQP1_BREAST","HDQ-P1","17-AAG",0.865434985935539,0.868610758209246,0.868610758209246,0.983951441774786,2.26874433143171,2.26874433143171
"13",11,"HEP3B217_LIVER","Hep 3B2.1-7","17-AAG",1.45373763134758,1.45798715836346,1.45798715836346,1.2197987328444,1.36327006290901,1.36327006290901
"14",12,"HGC27_STOMACH","HGC-27","17-AAG",1.56190419757174,1.56158316904214,1.56158316904214,1.34960732130956,1.39856173682339,1.39856173682339
"15",13,"HS944T_SKIN","Hs 944.T","17-AAG",1.57654386367343,1.57705345766922,1.57705345766922,1.43955877719749,1.28731201978685,1.28731201978685
"16",14,"IGR39_SKIN","IGR-39","17-AAG",1.29818380941082,1.29860518654061,1.29860518654061,1.32503377269973,0.543596652985505,0.543596652985505
"17",15,"ISHIKAWAHERAKLIO02ER_ENDOMETRIUM","Ishikawa (Heraklio) 02 ER-","17-AAG",1.13702361705528,1.13574756871254,1.13574756871254,1.03012855638621,1.93298776400768,1.93298776400768
"18",16,"KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KASUMI-2","17-AAG",1.21613841323365,1.20646958346333,1.20646958346333,1.22279203769417,1.88338515443259,1.88338515443259
"19",17,"KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KE-97","17-AAG",1.4831044981239,1.47533900296316,1.47533900296316,1.38785298834618,1.41967198580704,1.41967198580704
"20",18,"KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","KU812","17-AAG",1.33128942335603,1.31633447660945,1.31633447660945,1.45594810279723,1.51926573714709,1.51926573714709
"21",19,"MDAMB157_BREAST","MDA-MB-157","17-AAG",0.773169772049651,0.774569068924008,0.774569068924008,0.935671616202578,-0.386549409594774,-0.386549409594774
"22",20,"MDAMB468_BREAST","MDA-MB-468","17-AAG",1.04772490012473,1.05012442054601,1.05012442054601,1.13729552033029,0.71157206974499,0.71157206974499
"23",21,"NCIH1155_LUNG","NCI-H1155","17-AAG",1.06272910445855,1.06242465582365,1.06242465582365,1.01576830999506,1.55539923080623,1.55539923080623
"24",22,"NCIH727_LUNG","NCI-H727","17-AAG",1.14780908813828,1.15259170777462,1.15259170777462,1.16707332270451,0.424252515326395,0.424252515326395
"25",23,"NCIN87_STOMACH","NCI-N87","17-AAG",1.67771416728239,1.67793447428769,1.67793447428769,1.5184149308118,3.00002666815679,3.00002666815679
"26",24,"P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","P31/FUJ","17-AAG",1.59471867061639,1.57941627663731,1.57941627663731,1.5292186935859,0.757159846691281,0.757159846691281
