"","Cp","AICc","GCV","BIC"
"(Intercept)",-5.07275950100654,-5.07275950100654,-5.07275950100654,-4.18091758006962
"X1321N1_CENTRAL_NERVOUS_SYSTEM",-0.303714004143293,-0.303714004143293,-0.303714004143293,0
"X22RV1_PROSTATE",0.239768448457268,0.239768448457268,0.239768448457268,0
"X42MGBA_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"X5637_URINARY_TRACT",0,0,0,0
"X639V_URINARY_TRACT",0.973094813902784,0.973094813902784,0.973094813902784,0.194618962780557
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"X769P_KIDNEY",-0.476844847741418,-0.476844847741418,-0.476844847741418,-0.317896565160945
"X786O_KIDNEY",0,0,0,0
"X8305C_THYROID",0.12385128762022,0.12385128762022,0.12385128762022,0
"X8505C_THYROID",0,0,0,0
"X8MGBA_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"A172_CENTRAL_NERVOUS_SYSTEM",-0.129110087818343,-0.129110087818343,-0.129110087818343,0
"A204_SOFT_TISSUE",0.370787496394624,0.370787496394624,0.370787496394624,0.185393748197312
"A2058_SKIN",1.83196366827342,1.83196366827342,1.83196366827342,0.610654556091139
"A253_SALIVARY_GLAND",0.142758777308464,0.142758777308464,0.142758777308464,0.142758777308464
"A2780_OVARY",2.46815019873589,2.46815019873589,2.46815019873589,1.64543346582393
"A375_SKIN",0.324628867681495,0.324628867681495,0.324628867681495,0
"A549_LUNG",0,0,0,0
"A673_BONE",0.213521118463898,0.213521118463898,0.213521118463898,0
"ACHN_KIDNEY",0,0,0,0
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1.52256398275012,1.52256398275012,1.52256398275012,0.169173775861125
"AN3CA_ENDOMETRIUM",0.618677358744195,0.618677358744195,0.618677358744195,0
"ASPC1_PANCREAS",0,0,0,0
"AU565_BREAST",0,0,0,0
"AZ521_STOMACH",0,0,0,0
"BCPAP_THYROID",0,0,0,0
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.32206493477087,0.32206493477087,0.32206493477087,0
"BFTC909_KIDNEY",0.561477785664799,0.561477785664799,0.561477785664799,0
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BT20_BREAST",-1.35218035410882,-1.35218035410882,-1.35218035410882,0
"BT474_BREAST",0,0,0,0
"BT549_BREAST",0.424223013415574,0.424223013415574,0.424223013415574,0
"BXPC3_PANCREAS",0.11774677914218,0.11774677914218,0.11774677914218,0.11774677914218
"C2BBE1_LARGE_INTESTINE",-1.32074249604114,-1.32074249604114,-1.32074249604114,0
"C32_SKIN",2.27012107212646,2.27012107212646,2.27012107212646,0.283765134015808
"C3A_LIVER",2.56473422712447,2.56473422712447,2.56473422712447,0.789148992961375
"CAKI2_KIDNEY",-0.811953103081715,-0.811953103081715,-0.811953103081715,-0.541302068721143
"CAL12T_LUNG",0,0,0,0
"CAL27_UPPER_AERODIGESTIVE_TRACT",0.246642570982719,0.246642570982719,0.246642570982719,0
"CAL78_BONE",0.775867199899992,0.775867199899992,0.775867199899992,0
"CAL851_BREAST",0.117053805105702,0.117053805105702,0.117053805105702,0
"CALU1_LUNG",0,0,0,0
"CALU3_LUNG",-0.686422517289129,-0.686422517289129,-0.686422517289129,0
"CALU6_LUNG",-0.744316291915245,-0.744316291915245,-0.744316291915245,0
"CAMA1_BREAST",-0.204611185970737,-0.204611185970737,-0.204611185970737,0
"CAPAN2_PANCREAS",0,0,0,0
"CAS1_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"CCK81_LARGE_INTESTINE",0,0,0,0
"CHL1_SKIN",0,0,0,0
"CHP212_AUTONOMIC_GANGLIA",2.17127007150259,2.17127007150259,2.17127007150259,0.334041549461937
"CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.350977234723115,-0.350977234723115,-0.350977234723115,0
"COLO201_LARGE_INTESTINE",0.611240873588918,0.611240873588918,0.611240873588918,0.15281021839723
"COLO205_LARGE_INTESTINE",1.81267758624836,1.81267758624836,1.81267758624836,0.659155485908493
"COLO320_LARGE_INTESTINE",-2.95773560714053,-2.95773560714053,-2.95773560714053,0
"COLO678_LARGE_INTESTINE",0.646539289143107,0.646539289143107,0.646539289143107,0
"COLO679_SKIN",0.158536392563845,0.158536392563845,0.158536392563845,0.158536392563845
"COLO741_SKIN",-1.4089365879932,-1.4089365879932,-1.4089365879932,0
"CORL105_LUNG",-1.38262634232814,-1.38262634232814,-1.38262634232814,0
"CORL23_LUNG",-0.761954228246908,-0.761954228246908,-0.761954228246908,0
"COV318_OVARY",-1.25933234160778,-1.25933234160778,-1.25933234160778,-1.25933234160778
"COV504_OVARY",-0.264684387590565,-0.264684387590565,-0.264684387590565,0
"DAOY_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"DBTRG05MG_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",3.09149901642618,3.09149901642618,3.09149901642618,2.31862426231963
"DETROIT562_UPPER_AERODIGESTIVE_TRACT",-0.126615899607508,-0.126615899607508,-0.126615899607508,0
"DKMG_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"DMS114_LUNG",-1.53635267237334,-1.53635267237334,-1.53635267237334,0
"DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"DU145_PROSTATE",0.304145498427599,0.304145498427599,0.304145498427599,0
"DV90_LUNG",1.18744394343473,1.18744394343473,1.18744394343473,0.678539396248417
"EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-0.621213387384117,-0.621213387384117,-0.621213387384117,-0.124242677476823
"EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",-1.12407409948616,-1.12407409948616,-1.12407409948616,-0.374691366495386
"EBC1_LUNG",0,0,0,0
"EFE184_ENDOMETRIUM",-1.51450763370913,-1.51450763370913,-1.51450763370913,-0.963777585087626
"EFM19_BREAST",0,0,0,0
"EFO21_OVARY",-1.43998324200991,-1.43998324200991,-1.43998324200991,-0.799990690005507
"EFO27_OVARY",-0.439125500343143,-0.439125500343143,-0.439125500343143,0
"EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.707388352880296,0.707388352880296,0.707388352880296,0
"EN_ENDOMETRIUM",-1.73728257328199,-1.73728257328199,-1.73728257328199,0
"ES2_OVARY",0,0,0,0
"ESS1_ENDOMETRIUM",0.426142398772904,0.426142398772904,0.426142398772904,0
"F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"FADU_UPPER_AERODIGESTIVE_TRACT",0.481616202747431,0.481616202747431,0.481616202747431,0
"FU97_STOMACH",1.06259495387273,1.06259495387273,1.06259495387273,0
"FUOV1_OVARY",-0.372261480041963,-0.372261480041963,-0.372261480041963,-0.372261480041963
"G361_SKIN",-0.323161760638991,-0.323161760638991,-0.323161760638991,0
"G401_SOFT_TISSUE",1.43484283004555,1.43484283004555,1.43484283004555,0
"G402_SOFT_TISSUE",1.66406195412363,1.66406195412363,1.66406195412363,0.416015488530907
"GAMG_CENTRAL_NERVOUS_SYSTEM",-0.132767863417145,-0.132767863417145,-0.132767863417145,0
"GB1_CENTRAL_NERVOUS_SYSTEM",-1.10240425005075,-1.10240425005075,-1.10240425005075,0
"GCIY_STOMACH",-1.77783824164852,-1.77783824164852,-1.77783824164852,-0.711135296659409
"GCT_SOFT_TISSUE",0,0,0,0
"GI1_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"GMS10_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"H4_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"HARA_LUNG",0.178523685267815,0.178523685267815,0.178523685267815,0
"HCC1187_BREAST",0,0,0,0
"HCC1395_BREAST",-0.496024179653583,-0.496024179653583,-0.496024179653583,0
"HCC15_LUNG",0,0,0,0
