"","Cp","AICc","GCV","BIC"
"(Intercept)",-6.31837861208025,-6.31837861208025,-6.31837861208025,-4.18370840072097
"X1321N1_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"X22RV1_PROSTATE",-0.229351558913673,-0.229351558913673,-0.229351558913673,0
"X42MGBA_CENTRAL_NERVOUS_SYSTEM",1.04756388434933,1.04756388434933,1.04756388434933,0.261890971087333
"X5637_URINARY_TRACT",0.132233413649311,0.132233413649311,0.132233413649311,0
"X639V_URINARY_TRACT",0.793311381635648,0.793311381635648,0.793311381635648,0
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"X769P_KIDNEY",-0.655462399324148,-0.655462399324148,-0.655462399324148,-0.491596799493111
"X786O_KIDNEY",0,0,0,0
"X8305C_THYROID",0.125473802060689,0.125473802060689,0.125473802060689,0
"X8505C_THYROID",0,0,0,0
"X8MGBA_CENTRAL_NERVOUS_SYSTEM",0.658208401992771,0.658208401992771,0.658208401992771,0
"A172_CENTRAL_NERVOUS_SYSTEM",-0.260775269246326,-0.260775269246326,-0.260775269246326,0
"A204_SOFT_TISSUE",0,0,0,0
"A2058_SKIN",1.72565612347677,1.72565612347677,1.72565612347677,0.784389147034897
"A253_SALIVARY_GLAND",0.144671637981393,0.144671637981393,0.144671637981393,0.144671637981393
"A2780_OVARY",2.490751565234,2.490751565234,2.490751565234,1.45293841305316
"A375_SKIN",0.165824786303836,0.165824786303836,0.165824786303836,0.165824786303836
"A549_LUNG",-0.145408440806916,-0.145408440806916,-0.145408440806916,0
"A673_BONE",-0.234202923830717,-0.234202923830717,-0.234202923830717,0
"ACHN_KIDNEY",0,0,0,0
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1.02662390746311,1.02662390746311,1.02662390746311,0
"AN3CA_ENDOMETRIUM",0.630745228701388,0.630745228701388,0.630745228701388,0
"ASPC1_PANCREAS",0,0,0,0
"AU565_BREAST",0,0,0,0
"AZ521_STOMACH",0,0,0,0
"BCPAP_THYROID",0.137366915635286,0.137366915635286,0.137366915635286,0
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BFTC909_KIDNEY",0.577033405110113,0.577033405110113,0.577033405110113,0
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BT20_BREAST",-1.38248886679509,-1.38248886679509,-1.38248886679509,0
"BT474_BREAST",0,0,0,0
"BT549_BREAST",0.432210868235809,0.432210868235809,0.432210868235809,0
"BXPC3_PANCREAS",0,0,0,0
"C2BBE1_LARGE_INTESTINE",-1.67797080846032,-1.67797080846032,-1.67797080846032,0
"C32_SKIN",2.03513788409511,2.03513788409511,2.03513788409511,0.581467966884317
"C3A_LIVER",3.67943093908579,3.67943093908579,3.67943093908579,1.35557981966319
