"","Cp","AICc","GCV","BIC"
"(Intercept)",-5.2094365994185,-5.20942009910779,-5.20942009910779,-4.14141120951676
"X1321N1_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"X22RV1_PROSTATE",-0.219548770952204,-0.658646312856612,-0.658646312856612,0
"X42MGBA_CENTRAL_NERVOUS_SYSTEM",0.873321905783051,0.873321905783051,0.873321905783051,0.374280816764165
"X5637_URINARY_TRACT",0,0,0,0
"X639V_URINARY_TRACT",0.750425536105351,0.750425536105351,0.750425536105351,0.187606384026338
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.170421017741589,0.170421017741589,0.170421017741589,0
"X769P_KIDNEY",-0.461465350172683,-0.461465350172683,-0.461465350172683,-0.153821783390894
"X786O_KIDNEY",-0.142281798225054,-0.142281798225054,-0.142281798225054,0
"X8305C_THYROID",0,0,0,0
"X8505C_THYROID",0,0,0,0
"X8MGBA_CENTRAL_NERVOUS_SYSTEM",0.464750932106228,0.464750932106228,0.464750932106228,0
"A172_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"A204_SOFT_TISSUE",0.178812104183588,0.178812104183588,0.178812104183588,0.178812104183588
"A2058_SKIN",1.48388869055497,1.48388869055497,1.48388869055497,0.593555476221988
"A253_SALIVARY_GLAND",0.137335854366362,0.137335854366362,0.137335854366362,0.137335854366362
"A2780_OVARY",2.37776021894928,2.37776021894928,2.37776021894928,1.58517347929952
"A375_SKIN",0.313076183496447,0.313076183496447,0.313076183496447,0.156538091748224
"A549_LUNG",-0.135618541127268,-0.135618541127268,-0.135618541127268,0
"A673_BONE",0,0,0,0
"ACHN_KIDNEY",0,0,0,0
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1.29655782034998,1.29655782034998,1.29655782034998,0.162069727543748
"AN3CA_ENDOMETRIUM",0.601152857646913,0.801537143529217,0.801537143529217,0
"ASPC1_PANCREAS",0,0,0,0
"AU565_BREAST",0,0,0,0
"AZ521_STOMACH",0,0,0,0
"BCPAP_THYROID",0.260245228138562,0.260245228138562,0.260245228138562,0
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.156271624381592,0.156271624381592,0.156271624381592,0
"BFTC909_KIDNEY",0.401766747025071,0.535688996033428,0.535688996033428,0
