"","Cp","AICc","GCV","BIC"
"(Intercept)",-6.73144410928637,-6.73144410928637,-6.73144410928637,-4.37042626672416
"X1321N1_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"X22RV1_PROSTATE",-0.226697787297318,-0.226697787297318,-0.226697787297318,0
"X42MGBA_CENTRAL_NERVOUS_SYSTEM",0.919594891280103,0.919594891280103,0.919594891280103,0.262741397508601
"X5637_URINARY_TRACT",0,0,0,0
"X639V_URINARY_TRACT",0.786097073074343,0.786097073074343,0.786097073074343,0.196524268268586
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"X769P_KIDNEY",-0.650366956202048,-0.650366956202048,-0.650366956202048,-0.325183478101024
"X786O_KIDNEY",0,0,0,0
"X8305C_THYROID",0.125733593028818,0.125733593028818,0.125733593028818,0
"X8505C_THYROID",0,0,0,0
"X8MGBA_CENTRAL_NERVOUS_SYSTEM",0.497783075855082,0.497783075855082,0.497783075855082,0
"A172_CENTRAL_NERVOUS_SYSTEM",-0.260738447932904,-0.260738447932904,-0.260738447932904,0
"A204_SOFT_TISSUE",0.374328259899863,0.374328259899863,0.374328259899863,0.187164129949931
"A2058_SKIN",1.71604118409267,1.71604118409267,1.71604118409267,0.624014976033699
"A253_SALIVARY_GLAND",0.144060754809025,0.144060754809025,0.144060754809025,0
"A2780_OVARY",2.03148293168717,2.03148293168717,2.03148293168717,1.2188897590123
"A375_SKIN",0.327869101191977,0.327869101191977,0.327869101191977,0.163934550595989
"A549_LUNG",-0.143813594106199,-0.143813594106199,-0.143813594106199,0
"A673_BONE",0.213052974243263,0.213052974243263,0.213052974243263,0
"ACHN_KIDNEY",0,0,0,0
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1.18938224691092,1.18938224691092,1.18938224691092,0
"AN3CA_ENDOMETRIUM",0.822152244939308,0.822152244939308,0.822152244939308,0.205538061234827
"ASPC1_PANCREAS",0,0,0,0
"AU565_BREAST",0,0,0,0
"AZ521_STOMACH",0,0,0,0
"BCPAP_THYROID",0,0,0,0
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.161929456945669,0.161929456945669,0.161929456945669,0
"BFTC909_KIDNEY",0.284260579976534,0.284260579976534,0.284260579976534,0
