"","Cp","AICc","GCV","BIC"
"(Intercept)",-5.00419522523496,-4.85989098182523,-4.85989098182523,-3.76339662779392
"X1321N1_CENTRAL_NERVOUS_SYSTEM",0,0,0,0
"X22RV1_PROSTATE",0,0,0,0
"X42MGBA_CENTRAL_NERVOUS_SYSTEM",0.935973647858395,0.935973647858395,0.935973647858395,0.401131563367884
"X5637_URINARY_TRACT",0.134037487292617,0.134037487292617,0.134037487292617,0
"X639V_URINARY_TRACT",1.00430992898729,1.00430992898729,1.00430992898729,0.200861985797458
"X697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"X769P_KIDNEY",-0.495204348097583,-0.495204348097583,-0.495204348097583,-0.330136232065055
"X786O_KIDNEY",0,0,0,0
"X8305C_THYROID",0.127325859942697,0.127325859942697,0.127325859942697,0
"X8505C_THYROID",0,0,0,0
"X8MGBA_CENTRAL_NERVOUS_SYSTEM",0.335602897627398,0.335602897627398,0.335602897627398,0
"A172_CENTRAL_NERVOUS_SYSTEM",-0.266184169425861,-0.266184169425861,-0.266184169425861,0
"A204_SOFT_TISSUE",0.191375681949306,0.191375681949306,0.191375681949306,0.191375681949306
"A2058_SKIN",1.74904412223374,1.74904412223374,1.74904412223374,0.636016044448631
"A253_SALIVARY_GLAND",0.295582606265284,0.295582606265284,0.295582606265284,0.295582606265284
"A2780_OVARY",2.32175633752162,2.32175633752162,2.32175633752162,1.26641254773906
"A375_SKIN",0.50595239676248,0.50595239676248,0.50595239676248,0.337301597841653
"A549_LUNG",0,0,0,0
"A673_BONE",0,0,0,0
"ACHN_KIDNEY",-0.147097471134316,-0.147097471134316,-0.147097471134316,0
"ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",1.04018271905101,1.04018271905101,1.04018271905101,0
"AN3CA_ENDOMETRIUM",0.849696736758096,0.849696736758096,0.849696736758096,0
"ASPC1_PANCREAS",0,0,0,0
"AU565_BREAST",0,0,0,0
"AZ521_STOMACH",0,0,0,0
"BCPAP_THYROID",0.140451205579679,0.140451205579679,0.140451205579679,0
"BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0.342528256456654,0.342528256456654,0.342528256456654,0
"BFTC909_KIDNEY",0.431369228845282,0.431369228845282,0.431369228845282,0
"BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",0,0,0,0
"BT20_BREAST",-1.09818337820131,-1.09818337820131,-1.09818337820131,0
"BT474_BREAST",0,0,0,0
"BT549_BREAST",0.438985536599359,0.438985536599359,0.438985536599359,0
"BXPC3_PANCREAS",0,0,0,0
"C2BBE1_LARGE_INTESTINE",-1.70304360945164,-1.70304360945164,-1.70304360945164,0
