"","Cp","AICc","GCV","BIC"
"1",-0.478678711283418,-0.463369788551854,-0.439491766776165,-0.481488500460254
"2",-0.454109623796258,-0.473713836891959,-0.494027257727124,-0.424793447192999
"3",-0.0241310374480262,0.0745591373545072,0.149724816926093,-0.351708244974575
"4",-0.704438406577228,-0.743341476400098,-0.773255837364662,-0.529329036861669
"5",-0.889356966391194,-0.979015289449112,-1.0595181709565,-0.574066104987493
"6",-0.337030622004197,-0.351642870392827,-0.349386995526886,-0.346074283107099
"7",0.177203421191602,0.312135058290518,0.390535444731022,-0.325495156418441
"8",0.106702163545377,0.18573452048475,0.249009345188567,-0.265190933958964
"9",0.25593263468064,0.363837951948003,0.438681895770559,-0.223048877212645
"10",-0.185943856399111,-0.172890801975244,-0.159772356956336,-0.296324791887548
"11",-0.697595650444632,-0.711016935854128,-0.724119171577257,-0.502299127972962
"12",0.112180954698916,0.142979119884026,0.159519609402387,-0.213399122939572
"13",-0.309418140705431,-0.300286466779898,-0.271964697393831,-0.391607951250834
"14",-0.579100447009931,-0.594682802495343,-0.611671224127794,-0.435084420107738
"15",-0.309418140705431,-0.300286466779898,-0.271964697393831,-0.391607951250834
"16",-0.304075373374469,-0.254841868724013,-0.195359999928517,-0.368301758429596
"17",-0.133572128068064,-0.0708366742265115,-0.0346279497126227,-0.326751811372411
"18",-0.439727131567099,-0.486688266005568,-0.535422172912162,-0.371857002547035
"19",-0.468877995166464,-0.384291964755484,-0.343886165417534,-0.439771515871301
"20",-0.201831307824116,-0.189952572225528,-0.180943015905388,-0.296541093778503
"21",-0.227738576951737,-0.195661495972979,-0.165037439994058,-0.333583736781696
"22",-0.292821860786468,-0.306476552349672,-0.319210199643555,-0.305226410314234
"23",-0.201831307824116,-0.189952572225528,-0.180943015905388,-0.296541093778503
"24",-0.302963257730924,-0.278452200518618,-0.264438743243677,-0.364655163611311
"25",-0.201831307824116,-0.189952572225528,-0.180943015905388,-0.296541093778503
"26",-0.572650583691081,-0.663541713319502,-0.745248336098334,-0.410337902294519
"27",-0.601855225005144,-0.63762721884499,-0.645634898147272,-0.402801436571976
"28",-0.152683682746078,-0.146379222607139,-0.115858582836052,-0.23033828948961
"29",-0.152683682746078,-0.146379222607139,-0.115858582836052,-0.23033828948961
"30",-0.0237578249079975,0.0118979266106788,0.0397834233355115,-0.259015574810731
