"","X","DRUG_ID","COSMIC_ID","IC50_Normal","dd_predict...2.","dd_real...2."
"1",NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA
"3",1,"X1015",683665,0.125412196908366,-0.21974045264027,0.125412196908366
"4",2,"X1028",683665,0.3023542498866,-0.541609557802484,0.3023542498866
"5",3,"X1047",683665,0.0959211594773998,0.162426381705459,0.0959211594773998
"6",4,"X1053",683665,-1.32612377026214,-0.492332402610923,-1.32612377026214
"7",5,"X1062",683665,-0.209414084309099,-0.520285890723956,-0.209414084309099
"8",6,"X1067",683665,0.380282535891662,-0.290353815217283,0.380282535891662
"9",7,"X1133",683665,0.262156136867685,0.119245073403771,0.262156136867685
"10",8,"X1164",683665,-0.105502809409069,-0.141366432566799,-0.105502809409069
"11",9,"X1262",683665,-0.120961305369995,0.13509617884407,-0.120961305369995
"12",10,"X1264",683665,-0.305553569329898,-0.351927760321698,-0.305553569329898
"13",11,"X133",683665,-1.8826318381353,-0.39300642164463,-1.8826318381353
"14",12,"X1372",683665,-0.419875598967256,-0.0258174786817834,-0.419875598967256
"15",13,"X140",683665,-2.43952469523814,-0.274524900847001,-2.43952469523814
"16",14,"X147",683665,1.06025441024369,-0.486958118308786,1.06025441024369
"17",15,"X153",683665,-0.611799915856512,-0.274524900847001,-0.611799915856512
"18",16,"X157",683665,-1.109456924688,-0.239057241621579,-1.109456924688
"19",17,"X158",683665,-0.124084834408252,0.00213649369394042,-0.124084834408252
"20",18,"X190",683665,-0.585209845364492,-0.511543301982469,-0.585209845364492
"21",19,"X202",683665,0.0128395672990884,-0.473601479074707,0.0128395672990884
"22",20,"X263",683665,0.594394621005241,-0.259371200338086,0.594394621005241
"23",21,"X269",683665,0.421827280043425,-0.0637082732284208,0.421827280043425
"24",22,"X276",683665,-1.16868567864002,-0.165525555238277,-1.16868567864002
"25",23,"X279",683665,0.173513163661224,-0.259371200338086,0.173513163661224
"26",24,"X281",683665,0.614173446590951,-0.503096880575256,0.614173446590951
"27",25,"X303",683665,-1.16019232628046,-0.259371200338086,-1.16019232628046
"28",26,"X304",683665,0.720947434529902,-0.239182749167126,0.720947434529902
