"","X","COSMIC_ID","DRUG_ID","IC50_Normal","Cp","AICc","GCV","BIC","cc_real...2."
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"X1240189",1,0.417872958176872,0.152886643517232,0.388619098130322,0.388619098130322,0.120857841200565,0.417872958176872
"4",2,"X1247871",1,0.32919564772585,0.0703845724918187,0.0826881052096039,0.0826881052096039,0.121432413540853,0.32919564772585
"5",3,"X1297439",1,0.668037886404028,0.417111056417931,0.355308282955528,0.355308282955528,0.316148959725688,0.668037886404028
"6",4,"X1327768",1,0.0315161425781677,0.0349837150501923,-0.0277775028993332,-0.0277775028993332,0.144818757443274,0.0315161425781677
"7",5,"X1330991",1,0.571760701383976,0.217135852999275,0.293508489358194,0.293508489358194,0.16224275036482,0.571760701383976
"8",6,"X1331031",1,-0.250976216933143,0.0456385647682074,0.0618922159987284,0.0618922159987284,0.156436691665757,-0.250976216933143
"9",7,"X684062",1,0.149473778091105,0.297976322165594,0.479789277328455,0.479789277328455,0.24576322512509,0.149473778091105
"10",8,"X688026",1,0.0464545177782359,0.321911378334249,0.348019414935359,0.348019414935359,0.258335198342331,0.0464545177782359
"11",9,"X688031",1,-0.153569135930811,0.244082727247903,0.296075331164527,0.296075331164527,0.244262540597974,-0.153569135930811
"12",10,"X724859",1,0.379144274524502,0.0561172786784757,0.187596446630791,0.187596446630791,0.0440519570438845,0.379144274524502
"13",11,"X753548",1,0.150642799983497,0.167014301966827,0.148174450858369,0.148174450858369,0.187247276782122,0.150642799983497
"14",12,"X753551",1,0.0454266691456046,0.476930348090741,0.603450689554834,0.603450689554834,0.244112943847517,0.0454266691456046
"15",13,"X753552",1,0.0539987647547915,-0.311959738596468,-0.571100054048328,-0.571100054048328,-0.201616902794917,0.0539987647547915
"16",14,"X753558",1,0.501542806141298,-0.291364095183261,-0.47240693360792,-0.47240693360792,-0.108198878535365,0.501542806141298
"17",15,"X753592",1,0.209795759262353,-0.198500678035474,-0.30040385114687,-0.30040385114687,-0.106357511167163,0.209795759262353
"18",16,"X753595",1,-0.0665588427246191,-0.221649316309933,-0.158955283994344,-0.158955283994344,-0.186777461554488,-0.0665588427246191
"19",17,"X905958",1,0.085456510082893,0.161180460132722,0.135643948883228,0.135643948883228,0.196902198896758,0.085456510082893
"20",18,"X905971",1,0.380652755901997,-0.0295935465732342,-0.0208371128458757,-0.0208371128458757,-0.0979626248128304,0.380652755901997
"21",19,"X905984",1,0.180046004568185,0.226868393892789,0.299794555553141,0.299794555553141,0.129513697967663,0.180046004568185
"22",20,"X906803",1,0.254559114806219,0.389322320467927,0.59625294669431,0.59625294669431,0.311512751888007,0.254559114806219
