"","X","COSMIC_ID","DRUG_ID","IC50_Normal","Cp","AICc","GCV","BIC","cc_real...2."
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,"X1240173",1,0.451063579680941,0.404808491693774,0.42873251865521,0.42873251865521,0.247563481403044,0.451063579680941
"4",2,"X1290455",1,0.272465173106624,0.163451388444461,0.149862187448162,0.149862187448162,0.142514584870074,0.272465173106624
"5",3,"X1297446",1,0.277919075196885,0.112764105522438,-0.0359730974267387,-0.0359730974267387,0.191812522849475,0.277919075196885
"6",4,"X1331040",1,-0.0435664456694976,0.145010598102962,0.35119986098846,0.35119986098846,0.137345748964697,-0.0435664456694976
"7",5,"X687562",1,0.185554795259324,0.0635986783866709,0.0181730319426869,0.0181730319426869,0.105653769525883,0.185554795259324
"8",6,"X687568",1,0.45407810745862,0.0200794500895354,-0.480066494823378,-0.480066494823378,0.112833154428137,0.45407810745862
"9",7,"X688023",1,0.420905550604143,0.25432411905492,0.247121141662734,0.247121141662734,0.281682479993988,0.420905550604143
"10",8,"X724863",1,-0.0457319829508012,0.00253130298335469,-0.183265171342228,-0.183265171342228,-0.0212984677857437,-0.0457319829508012
"11",9,"X724866",1,-0.406261060704222,-0.189546912571064,-0.387880156992817,-0.387880156992817,-0.0642757299168182,-0.406261060704222
"12",10,"X735784",1,-0.554814337642995,-0.514061999208349,-0.558272763235788,-0.558272763235788,-0.292344121246591,-0.554814337642995
"13",11,"X749711",1,0.408995411475881,0.0272875638593326,0.0128119131385545,0.0128119131385545,-0.00190281265266301,0.408995411475881
"14",12,"X749713",1,0.39634583735552,-0.0305079322764434,-0.275386631178353,-0.275386631178353,-0.0207373874919403,0.39634583735552
"15",13,"X749716",1,0.478796164436763,0.0759249870073093,0.0928784002523506,0.0928784002523506,-0.00442573683649061,0.478796164436763
"16",14,"X753555",1,0.236765398008412,-0.548301446840382,-0.691965950514069,-0.691965950514069,-0.327755418714525,0.236765398008412
"17",15,"X753579",1,-0.0998600801859062,0.396228277262569,0.434180849095826,0.434180849095826,0.326860064076898,-0.0998600801859062
"18",16,"X753584",1,0.0472804332619904,0.279032608559494,0.362832109240599,0.362832109240599,0.175546963081284,0.0472804332619904
"19",17,"X753585",1,-1.42736980545784,-0.0948365252008956,-0.117927049932343,-0.117927049932343,0.0236864184023902,-1.42736980545784
"20",18,"X753620",1,0.565076127027332,0.158043855251529,0.196451840887582,0.196451840887582,0.26601323031353,0.565076127027332
"21",19,"X753622",1,-0.301501804031346,-0.637238229929995,-0.85488108920683,-0.85488108920683,-0.355347263843051,-0.301501804031346
"22",20,"X905938",1,0.334106937845995,0.193798892471469,0.250167343748841,0.250167343748841,0.148423966835626,0.334106937845995
